"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"d:\Web\fplms-fe\src\routes\GroupPicking\index.js", "JavaScript", 81, 0, 0, 1, 7, 89
"d:\Web\fplms-fe\src\routes\GroupPicking\style.js", "JavaScript", 58, 0, 0, 0, 8, 66
"d:\Web\fplms-fe\src\routes\GroupView\index.js", "JavaScript", 14, 0, 0, 2, 7, 23
"d:\Web\fplms-fe\src\routes\GroupView\lecturer.view.js", "JavaScript", 339, 0, 0, 2, 21, 362
"d:\Web\fplms-fe\src\routes\GroupView\student.view.js", "JavaScript", 408, 0, 0, 6, 25, 439
"d:\Web\fplms-fe\src\routes\GroupView\style.js", "JavaScript", 423, 0, 0, 3, 61, 487
"d:\Web\fplms-fe\src\routes\Login\index.js", "JavaScript", 89, 0, 0, 0, 12, 101
"d:\Web\fplms-fe\src\routes\Login\style.js", "JavaScript", 110, 0, 0, 0, 18, 128
"d:\Web\fplms-fe\src\routes\MarkTable\index.js", "JavaScript", 90, 0, 0, 2, 12, 104
"d:\Web\fplms-fe\src\routes\MyAnswers\index.js", "JavaScript", 4, 0, 0, 0, 2, 6
"d:\Web\fplms-fe\src\routes\MyAnswers\style.js", "JavaScript", 0, 0, 0, 0, 1, 1
"d:\Web\fplms-fe\src\routes\MyQuestions\index.js", "JavaScript", 184, 0, 0, 1, 11, 196
"d:\Web\fplms-fe\src\routes\MyQuestions\style.js", "JavaScript", 106, 0, 0, 0, 11, 117
"d:\Web\fplms-fe\src\routes\NotFound\index.js", "JavaScript", 4, 0, 0, 0, 2, 6
"d:\Web\fplms-fe\src\routes\PrivateRoute.js", "JavaScript", 8, 0, 0, 0, 6, 14
"d:\Web\fplms-fe\src\routes\PublicRoute.js", "JavaScript", 8, 0, 0, 0, 6, 14
"d:\Web\fplms-fe\src\routes\StudentList\index.js", "JavaScript", 129, 0, 0, 1, 12, 142
"d:\Web\fplms-fe\src\routes\StudentList\style.js", "JavaScript", 171, 0, 0, 0, 20, 191
"d:\Web\fplms-fe\src\routes\Topic\index.js", "JavaScript", 180, 0, 0, 1, 15, 196
"d:\Web\fplms-fe\src\routes\Topic\style.js", "JavaScript", 18, 0, 0, 0, 4, 22
"d:\Web\fplms-fe\src\routes\index.js", "JavaScript", 140, 0, 0, 0, 7, 147
"d:\Web\fplms-fe\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"d:\Web\fplms-fe\src\utils\account.js", "JavaScript", 6, 0, 0, 0, 3, 9
"d:\Web\fplms-fe\src\utils\array.js", "JavaScript", 8, 0, 0, 0, 2, 10
"d:\Web\fplms-fe\src\utils\color.js", "JavaScript", 11, 0, 0, 0, 2, 13
"d:\Web\fplms-fe\src\utils\dateTime.js", "JavaScript", 44, 0, 0, 0, 10, 54
"d:\Web\fplms-fe\src\utils\draft.js", "JavaScript", 10, 0, 0, 0, 3, 13
"d:\Web\fplms-fe\src\utils\random.js", "JavaScript", 4, 0, 0, 0, 2, 6
"d:\Web\fplms-fe\src\utils\request.js", "JavaScript", 17, 0, 0, 0, 6, 23
"d:\Web\fplms-fe\src\utils\style.js", "JavaScript", 38, 0, 0, 0, 4, 42
"d:\Web\fplms-fe\src\utils\toaster.js", "JavaScript", 24, 0, 0, 0, 4, 28
"d:\Web\fplms-fe\src\utils\valid.js", "JavaScript", 11, 0, 0, 0, 5, 16
"Total", "-", 10527, 39, 10, 233, 1276, 12085
